scaffold,coverage
NODE_238_length_2774_cov_2.605370,3.321428537
NODE_239_length_2757_cov_3.278682,4.077144146
NODE_240_length_2755_cov_3.012593,3.746762514
NODE_241_length_2755_cov_1.638889,1.976498842
NODE_242_length_2747_cov_2.916419,3.839345932
NODE_243_length_2739_cov_2.646423,3.435118198
NODE_244_length_2736_cov_3.174189,4.156521797
NODE_245_length_2730_cov_3.259065,4.018410683
NODE_246_length_2707_cov_2.589367,3.525158882
NODE_247_length_2693_cov_2.551175,3.33267808
NODE_248_length_2685_cov_2.162357,2.928536177
NODE_249_length_2679_cov_2.350610,3.160493851
NODE_250_length_2675_cov_3.090076,3.98762989
NODE_251_length_2673_cov_2.983957,4.115899086
NODE_252_length_2671_cov_2.378440,2.913733244
NODE_253_length_2670_cov_2.156405,2.703372955
NODE_254_length_2669_cov_1.739097,2.079821587
NODE_255_length_2667_cov_3.293645,4.339950562
NODE_256_length_2660_cov_2.661420,3.537350655
NODE_257_length_2658_cov_2.046485,2.874501944
NODE_258_length_2654_cov_1.677953,2.033932209
NODE_259_length_2650_cov_3.161850,3.817500114
NODE_260_length_2648_cov_2.114539,2.79550004
NODE_261_length_2643_cov_3.086940,3.788972378
NODE_262_length_2635_cov_3.145349,4.285570621
NODE_263_length_2634_cov_1.582784,2.064889431
NODE_264_length_2632_cov_2.911913,3.755790472
NODE_265_length_2629_cov_3.957653,5.493702888
NODE_266_length_2609_cov_2.237275,2.84052825
NODE_267_length_2604_cov_3.519419,4.49083519
NODE_268_length_2599_cov_3.242925,4.009688854
NODE_269_length_2592_cov_3.018132,3.944216967
NODE_270_length_2580_cov_3.345743,4.251029015
NODE_271_length_2575_cov_3.167460,4.069551945
NODE_272_length_2573_cov_2.731533,3.457452297
NODE_273_length_2571_cov_2.618045,3.19824481
NODE_274_length_2570_cov_2.513718,3.199896812
NODE_275_length_2567_cov_2.562898,3.372609854
NODE_276_length_2564_cov_4.947389,6.065217495
NODE_277_length_2555_cov_3.259600,4.15688324
NODE_278_length_2553_cov_2.823459,3.748829842
NODE_279_length_2549_cov_1.730553,2.095783472
NODE_280_length_2548_cov_2.371039,3.095833302
NODE_281_length_2545_cov_2.404418,3.150756359
NODE_282_length_2541_cov_84.983508,106.2211151
NODE_283_length_2534_cov_2.431626,3.179245234
NODE_284_length_2533_cov_3.248991,3.912427902
NODE_285_length_2522_cov_2.020268,2.48314023
NODE_286_length_2520_cov_3.089249,4.090717316
NODE_287_length_2516_cov_3.748476,4.894931316
NODE_288_length_2516_cov_2.718813,3.316261768
NODE_289_length_2515_cov_2.241463,2.894347668
NODE_290_length_2513_cov_2.353946,2.859862566
NODE_291_length_2511_cov_2.488192,3.350979328
NODE_292_length_2509_cov_2.788509,3.491265297
NODE_293_length_2509_cov_2.182152,2.76283741
NODE_294_length_2507_cov_1.974715,2.918918848
NODE_295_length_2506_cov_2.490820,3.326086998
NODE_296_length_2505_cov_3.086122,4.057825089
NODE_297_length_2492_cov_2.820681,3.553361893
NODE_298_length_2490_cov_3.340862,4.220085621
NODE_299_length_2484_cov_1.802388,2.39775157
NODE_300_length_2480_cov_2.002062,2.796137333
NODE_301_length_2478_cov_2.106892,2.882510662
NODE_302_length_2477_cov_1.723369,2.245840073
NODE_303_length_2475_cov_2.866942,3.77431488
NODE_304_length_2475_cov_2.558264,3.489521742
NODE_305_length_2473_cov_2.030190,2.673480272
NODE_306_length_2468_cov_4.314546,5.844827652
NODE_307_length_2467_cov_3.787728,4.909973145
NODE_308_length_2467_cov_2.490050,3.260377407
NODE_309_length_2463_cov_2.707226,3.625607729
NODE_310_length_2462_cov_2215.984213,2800.262695
NODE_311_length_2452_cov_2.843972,3.485342026
NODE_312_length_2449_cov_2.137845,2.663226604
NODE_313_length_2444_cov_3.109669,3.986927986
NODE_314_length_2438_cov_2.770038,3.603165865
NODE_315_length_2426_cov_2.255167,3.236004353
NODE_316_length_2424_cov_2.692275,3.489011049
NODE_317_length_2423_cov_2.592061,3.393622875
NODE_318_length_2422_cov_3.185467,4.349285126
NODE_319_length_2414_cov_1.991946,2.545253754
NODE_320_length_2409_cov_2.128292,2.797678232
NODE_321_length_2405_cov_2.612766,3.331301928
NODE_322_length_2394_cov_2.758016,3.621937752
NODE_323_length_2394_cov_2.520308,3.200445414
NODE_324_length_2392_cov_2.632435,3.235785961
NODE_325_length_2382_cov_3.449076,4.326987743
NODE_326_length_2382_cov_2.468414,3.180291176
NODE_327_length_2381_cov_2.606621,3.408403397
NODE_328_length_2379_cov_2.542169,3.223529339
NODE_329_length_2371_cov_3.028066,3.919527292
NODE_330_length_2363_cov_2.704939,3.641445398
NODE_331_length_2359_cov_4.206597,5.604861736
NODE_332_length_2359_cov_3.542101,4.436970234
NODE_333_length_2352_cov_3.100566,4.185584545
NODE_334_length_2352_cov_2.701350,3.895005703
NODE_335_length_2348_cov_2.796773,3.714772701
NODE_336_length_2344_cov_2.918742,3.802391768
NODE_337_length_2337_cov_3.022787,3.917190075
NODE_338_length_2336_cov_2.296800,3.061714172
NODE_339_length_2335_cov_2.483772,3.126358032
NODE_340_length_2332_cov_3.050066,3.904925585
NODE_341_length_2327_cov_2.455546,3.242111206
NODE_342_length_2323_cov_3.652116,4.970097542
NODE_343_length_2321_cov_2.968667,3.85319519
NODE_344_length_2318_cov_2.781264,3.574308872
NODE_345_length_2316_cov_1.796108,2.237601042
NODE_346_length_2306_cov_2.351844,3.031865597
NODE_347_length_2305_cov_2.942222,3.763478279
NODE_348_length_2299_cov_1.700980,2.148750782
NODE_349_length_2298_cov_2.027196,2.497674465
NODE_350_length_2296_cov_2.471664,3.158905745
NODE_351_length_2294_cov_2.567664,3.315850735
NODE_352_length_2290_cov_2.764653,3.634929895
NODE_353_length_2290_cov_2.706488,3.636682272
NODE_354_length_2289_cov_3.160698,4.08231163
NODE_355_length_2286_cov_3.231286,4.275438786
NODE_356_length_2285_cov_3.040359,3.900526524
NODE_357_length_2285_cov_2.709865,3.445874691
NODE_358_length_2284_cov_2.139524,2.995901585
NODE_359_length_2284_cov_2.133244,2.751170874
NODE_360_length_2282_cov_2.877414,3.639507532
NODE_361_length_2282_cov_1.569376,1.958968401
NODE_362_length_2280_cov_2.029663,2.74295783
NODE_363_length_2279_cov_2.732914,3.241055727
NODE_364_length_2276_cov_3.054480,4.0246768
NODE_365_length_2276_cov_2.470059,3.113395929
NODE_366_length_2265_cov_2.138009,2.861783743
NODE_367_length_2264_cov_2.229063,3.041962147
NODE_368_length_2259_cov_2.809437,3.644168139
NODE_369_length_2258_cov_2.994099,4.026658535
NODE_370_length_2258_cov_1.974126,2.661137342
NODE_371_length_2252_cov_2.090578,2.787158251
NODE_372_length_2252_cov_2.040055,2.608798981
NODE_373_length_2251_cov_4.740437,5.823914528
NODE_374_length_2251_cov_2.263661,2.873884678
NODE_375_length_2245_cov_2.779452,3.569469213
NODE_376_length_2244_cov_2.734582,3.47255373
NODE_377_length_2241_cov_2.870082,3.518230677
NODE_378_length_2240_cov_2.385355,3.012559891
NODE_379_length_2238_cov_2.977554,3.960526228
NODE_380_length_2237_cov_3.132906,4.220227242
NODE_381_length_2225_cov_2.154378,2.859723091
NODE_382_length_2224_cov_2.211618,2.696385622
NODE_383_length_2222_cov_2.558376,3.06212306
NODE_384_length_2222_cov_2.455468,3.248492241
NODE_385_length_2220_cov_4.036028,5.10144949
NODE_386_length_2220_cov_3.094226,3.959541082
NODE_387_length_2219_cov_2.271257,3.165962696
NODE_388_length_2219_cov_1.985213,2.514785767
NODE_389_length_2215_cov_3.151852,3.959467649
NODE_390_length_2214_cov_2.366373,3.056295395
NODE_391_length_2213_cov_2.164968,2.851605177
NODE_392_length_2212_cov_2.722763,3.583636284
NODE_393_length_2208_cov_3.536461,4.656553268
NODE_394_length_2208_cov_2.288899,3.035194159
NODE_395_length_2201_cov_1.719944,2.048141479
NODE_396_length_2197_cov_1.977124,2.441732645
NODE_397_length_2196_cov_2.666044,3.420024395
NODE_398_length_2195_cov_1.997196,2.601099491
NODE_399_length_2189_cov_2.477976,3.170851231
NODE_400_length_2188_cov_3.113924,4.154411793
NODE_401_length_2185_cov_2.015962,2.742173195
NODE_402_length_2178_cov_2.274140,2.931650162
NODE_403_length_2177_cov_1.910933,2.633394957
NODE_404_length_2171_cov_8.409735,10.38157082
NODE_405_length_2170_cov_2.941371,3.803836584
NODE_406_length_2160_cov_2.942518,3.728233814
NODE_407_length_2155_cov_2.411905,3.208099604
NODE_408_length_2153_cov_7.259771,9.084840775
NODE_409_length_2153_cov_3.171115,3.980037451
NODE_410_length_2153_cov_3.051954,3.723019361
NODE_411_length_2151_cov_2.772901,3.288569689
NODE_412_length_2147_cov_3.035373,4.106316566
NODE_413_length_2145_cov_1.830622,2.356919289
NODE_414_length_2140_cov_2.920863,4.112437248
NODE_415_length_2136_cov_3.202787,4.215723038
NODE_416_length_2133_cov_1.997113,2.517958403
NODE_417_length_2130_cov_3.600964,4.669191837
NODE_418_length_2130_cov_3.163855,4.152146339
NODE_419_length_2128_cov_6.953208,7.811868668
NODE_420_length_2125_cov_3.572947,4.480075836
NODE_421_length_2121_cov_1.585189,2.252377987
NODE_422_length_2119_cov_2.619671,3.454660654
NODE_423_length_2116_cov_2.396410,3.174714088
NODE_424_length_2116_cov_2.019408,2.744599819
NODE_425_length_2114_cov_3.131617,4.246819496
NODE_426_length_2114_cov_2.329772,3.000636101
NODE_427_length_2112_cov_3.057851,3.866241932
NODE_428_length_2109_cov_1.971762,2.635436535
NODE_429_length_2108_cov_2.530443,3.286989689
NODE_430_length_2108_cov_2.381880,2.933035612
NODE_431_length_2108_cov_1.766683,2.205994844
NODE_432_length_2102_cov_3.421104,4.553136826
NODE_433_length_2094_cov_2.593919,3.363753319
NODE_434_length_2093_cov_1.804711,2.392925978
NODE_435_length_2089_cov_135.614061,170.5994873
NODE_436_length_2089_cov_3.062930,3.913715363
NODE_437_length_2087_cov_2.092028,2.950354576
NODE_438_length_2079_cov_3.178854,4.367637634
NODE_439_length_2078_cov_2034.258527,727.0239868
NODE_440_length_2077_cov_2.409496,2.963058949
NODE_441_length_2074_cov_2.352155,2.981168747
NODE_442_length_2074_cov_1.902427,2.498051882
NODE_443_length_2072_cov_2.812593,3.513003826
NODE_444_length_2072_cov_1.590481,2.192457676
NODE_445_length_2063_cov_2.253486,3.016329288
NODE_446_length_2063_cov_2.104084,2.7909863
NODE_447_length_2062_cov_43.863976,56.1509819
NODE_448_length_2062_cov_2.202790,2.872549057
NODE_449_length_2061_cov_2.944167,3.498364925
NODE_450_length_2060_cov_2.826933,3.692408323
NODE_451_length_2060_cov_2.441895,3.183246136
NODE_452_length_2055_cov_2.130000,2.762622833
NODE_453_length_2053_cov_4.897898,5.565988064
NODE_454_length_2046_cov_2.851833,3.677206755
NODE_455_length_2045_cov_2.357286,2.832564354
NODE_456_length_2033_cov_2.296764,2.946914434
NODE_457_length_2033_cov_2.223964,2.53218317
NODE_458_length_2032_cov_2.972180,3.921646833
NODE_459_length_2031_cov_2.307692,2.90963459
NODE_460_length_2027_cov_2.093306,2.916167736
NODE_461_length_2026_cov_3.077118,3.745006561
NODE_462_length_2023_cov_1.885163,2.410273552
NODE_463_length_2016_cov_3.273330,4.12516737
NODE_464_length_2016_cov_2.582356,3.547523499
NODE_465_length_2014_cov_1.769270,2.270777464
NODE_466_length_2013_cov_2.686415,3.361502409
NODE_467_length_2013_cov_2.630235,3.385647297
NODE_468_length_2011_cov_1.811350,2.290127516
NODE_469_length_2009_cov_1.772262,2.37474823
NODE_470_length_2006_cov_2.025628,2.655450821
NODE_471_length_2005_cov_3.351282,4.563636303
NODE_472_length_2005_cov_2.236923,3.00404048
NODE_473_length_2003_cov_3.330595,4.519217968
NODE_474_length_2002_cov_2.966615,3.96086359
NODE_475_length_2001_cov_1.579651,2.089804173
NODE_476_length_2001_cov_1.440391,2.002025604
NODE_477_length_1999_cov_2.404321,3.108710289
NODE_478_length_1995_cov_1.485052,1.840216637
NODE_479_length_1992_cov_2.233351,2.993215799
